Time;Porto_Velho;Ariquimes;Cacoal
01/09/1996 00:00;27.9452763;28.1689701;28.1456547
01/10/1996 00:00;27.3205204;27.0088139;27.0544071
01/11/1996 00:00;25.3993473;25.3636723;25.701746
01/12/1996 00:00;25.1620731;25.1718082;25.6319828
01/01/1997 00:00;24.7045841;24.8537846;25.3053532
01/02/1997 00:00;24.835413;24.9425602;25.2816105
01/03/1997 00:00;24.6284428;24.83288;25.1052494
01/04/1997 00:00;24.4861698;24.713892;25.0960331
01/05/1997 00:00;23.5865421;24.2477665;24.9144535
01/06/1997 00:00;23.2196903;23.9023075;24.7069645
01/07/1997 00:00;23.7789555;24.1482182;24.7961369
01/08/1997 00:00;27.291132;27.604578;27.4029179
01/09/1997 00:00;30.0117435;29.6438541;30.4338627
01/10/1997 00:00;29.8743839;29.9221439;30.2475834
01/11/1997 00:00;29.1310673;27.9482975;28.1214848
01/12/1997 00:00;28.4775333;26.9064274;27.0833988
01/01/1998 00:00;27.1172428;26.785944;26.9098148
01/02/1998 00:00;26.6693974;26.7268009;26.8737125
01/03/1998 00:00;26.274744;26.4394474;26.8301334
01/04/1998 00:00;26.3806095;26.4792728;26.8176823
01/05/1998 00:00;25.8538456;24.5707035;25.2346439
01/06/1998 00:00;27.0778141;25.6587772;25.9339542
01/07/1998 00:00;28.4737492;27.7489872;27.4052982
01/08/1998 00:00;29.3126469;29.5260563;29.5928593
01/09/1998 00:00;29.5238895;29.3756046;29.7246342
01/10/1998 00:00;28.3500919;28.7194767;29.2999516
01/11/1998 00:00;25.7813663;25.8080997;26.6385136
01/12/1998 00:00;25.2682133;25.323267;26.1368961
01/01/1999 00:00;24.8611393;24.817255;25.2824955
01/02/1999 00:00;24.9854679;24.9717045;25.2941837
01/03/1999 00:00;24.7266178;25.1394291;25.5561161
01/04/1999 00:00;24.1789494;24.3664799;24.8260136
01/05/1999 00:00;23.4721012;24.1631718;24.7168827
01/06/1999 00:00;23.8089848;23.7773685;24.3834476
01/07/1999 00:00;24.8034611;24.5018559;24.6468143
01/08/1999 00:00;26.6342106;26.8864384;26.2791691
01/09/1999 00:00;29.0698795;28.0069828;27.6825199
01/10/1999 00:00;28.6511173;28.1229191;28.0353947
01/11/1999 00:00;25.5504093;26.0810184;25.9300175
01/12/1999 00:00;25.0354557;25.3997135;25.3773441
01/01/2000 00:00;24.8030033;24.7487736;24.990015
01/02/2000 00:00;24.7266483;24.8078556;25.1067753
01/03/2000 00:00;24.705225;24.8415775;25.0051517
01/04/2000 00:00;24.8029728;25.006525;25.2463627
01/05/2000 00:00;23.6817265;24.2844791;24.855402
01/06/2000 00:00;24.388483;24.7545414;24.5318851
01/07/2000 00:00;24.5869083;25.1361332;24.5255375
01/08/2000 00:00;28.0105228;28.1247501;27.3582706
01/09/2000 00:00;27.7277775;27.1012516;27.2713261
01/10/2000 00:00;27.6623783;26.9429874;27.7770634
01/11/2000 00:00;25.572504;25.5686893;26.0815678
01/12/2000 00:00;24.930994;25.2340336;25.6546879
01/01/2001 00:00;24.2970219;24.6081791;24.9770145
01/02/2001 00:00;24.670557;24.8210087;25.0953617
01/03/2001 00:00;24.7573185;24.8840275;25.291193
01/04/2001 00:00;24.7588444;24.9821415;25.3703251
01/05/2001 00:00;24.2392216;24.7369633;25.3166752
01/06/2001 00:00;22.0504704;22.7031498;23.4197941
01/07/2001 00:00;24.7149601;24.5632267;24.5898075
01/08/2001 00:00;27.1936283;27.4039555;25.9845829
01/09/2001 00:00;27.2478886;26.8720341;26.2925663
01/10/2001 00:00;27.8729496;27.0754032;26.87356
01/11/2001 00:00;25.741663;25.961237;26.1052799
01/12/2001 00:00;24.9706974;25.2102604;25.4123783
01/01/2002 00:00;25.3127079;25.3104496;25.5506229
01/02/2002 00:00;25.0913639;25.3897343;25.6023502
01/03/2002 00:00;25.1765385;25.3489323;25.529047
01/04/2002 00:00;25.0919743;25.3880863;25.5676517
01/05/2002 00:00;24.63241;25.2637882;25.6318302
01/06/2002 00:00;23.1776981;24.0208073;24.5137882
01/07/2002 00:00;25.8043156;26.3319645;25.2737064
01/08/2002 00:00;26.9780827;27.8991032;27.0173893
01/09/2002 00:00;27.7924442;27.773737;27.3319645
01/10/2002 00:00;28.8986149;27.5464115;27.9654179
01/11/2002 00:00;26.6553898;25.7991886;26.4439335
01/12/2002 00:00;25.6718388;25.3208866;25.654932
01/01/2003 00:00;25.4701176;25.5981083;25.9790897
01/02/2003 00:00;25.1955814;25.3074284;25.5312443
01/03/2003 00:00;24.7829227;25.0517521;25.3605289
01/04/2003 00:00;24.7656193;25.0076542;25.4240665
01/05/2003 00:00;23.9035892;24.6405582;25.2482243
01/06/2003 00:00;23.3358402;24.3384037;25.0075932
01/07/2003 00:00;23.7994633;23.6229496;24.4468632
01/08/2003 00:00;26.1096745;26.0581608;26.5421696
01/09/2003 00:00;26.9558659;26.8920841;27.569788
01/10/2003 00:00;27.2843876;27.1476078;27.3122501
01/11/2003 00:00;27.7897892;26.5930119;27.1312809
01/12/2003 00:00;27.0919132;26.4393864;26.0330448
01/01/2004 00:00;25.318079;25.4034977;25.7514896
01/02/2004 00:00;24.7677555;25.1398258;25.5279484
01/03/2004 00:00;25.3868656;25.5167484;25.6736393
01/04/2004 00:00;25.0578251;25.2880497;25.6193485
01/05/2004 00:00;23.5545292;24.2483463;24.8658695
01/06/2004 00:00;22.8648624;23.6668034;24.3535709
01/07/2004 00:00;24.4080143;24.8689823;25.305872
01/08/2004 00:00;26.2379093;27.1222477;27.5963078
01/09/2004 00:00;27.7723637;27.9471378;28.278986
01/10/2004 00:00;27.6030521;27.3646183;27.1476994
01/11/2004 00:00;26.1801395;25.999567;26.0812931
01/12/2004 00:00;25.2580814;25.4824772;25.6274662
01/01/2005 00:00;25.1143436;26.1732426;26.0562077
01/02/2005 00:00;25.2303104;25.5378361;25.9049015
01/03/2005 00:00;25.1962223;25.5938663;25.8222599
01/04/2005 00:00;25.0042667;26.9966068;26.2771244
01/05/2005 00:00;24.674799;26.8814945;25.9583988
01/06/2005 00:00;25.1195316;27.9501591;27.2850895
01/07/2005 00:00;25.5161381;28.0410404;28.0200443
01/08/2005 00:00;27.3880253;29.0749149;29.3065128
01/09/2005 00:00;28.2122135;29.1512699;29.7792606
01/10/2005 00:00;28.6077518;28.3126774;29.3700504
01/11/2005 00:00;28.2940311;26.2040348;27.2636356
01/12/2005 00:00;25.8041935;25.0743351;25.5627995
01/01/2006 00:00;25.3904972;25.0510807;25.3618412
01/02/2006 00:00;25.0685978;25.1638737;25.4599552
01/03/2006 00:00;24.9610844;24.9541874;25.3297062
01/04/2006 00:00;24.5751591;24.854517;25.1061649
01/05/2006 00:00;23.3627872;23.043848;23.7213383
01/06/2006 00:00;25.7228947;23.9491215;24.6440067
01/07/2006 00:00;27.5113773;26.6593266;26.401453
01/08/2006 00:00;29.3133183;28.8131657;29.066431
01/09/2006 00:00;26.5957279;26.3527164;27.0415592
01/10/2006 00:00;25.8027897;25.9340763;26.4535465
01/11/2006 00:00;25.4267216;25.57757;25.9450321
01/12/2006 00:00;25.1111088;25.1986637;25.5044193
01/01/2007 00:00;25.5190678;25.6888676;25.7887211
01/02/2007 00:00;24.8666325;25.2571964;25.6743107
01/03/2007 00:00;25.191309;25.2352848;25.3411198
01/04/2007 00:00;25.1984806;25.3361759;25.6942692
01/05/2007 00:00;23.5184269;24.0468082;24.5963078
01/06/2007 00:00;24.370142;24.1948795;24.8568668
01/07/2007 00:00;26.0708256;25.5468388;25.4781437
01/08/2007 00:00;28.433588;28.0902653;28.0156193
01/09/2007 00:00;29.3097172;29.5898685;29.6520634
01/10/2007 00:00;27.9927006;28.9538517;28.9420109
01/11/2007 00:00;26.6932621;28.136652;28.3494816
01/12/2007 00:00;26.0339603;26.6166325;26.844202
01/01/2008 00:00;25.1785526;25.1744022;25.4298649
01/02/2008 00:00;24.5627079;24.7860661;25.1827946
01/03/2008 00:00;24.611414;24.7125187;24.9359379
01/04/2008 00:00;24.8708134;24.929987;25.252924
01/05/2008 00:00;24.5484867;24.1052799;24.5876713
01/06/2008 00:00;25.4418888;24.4518986;24.3530827
01/07/2008 00:00;27.242487;27.5254459;25.6907291
01/08/2008 00:00;30.4254398;29.396204;28.525629
01/09/2008 00:00;30.1314335;30.0358524;29.3647404
01/10/2008 00:00;28.3910465;28.7489567;28.3496952
01/11/2008 00:00;27.36413;26.4785099;26.9373722
01/12/2008 00:00;25.002924;24.9580936;25.3077335
01/01/2009 00:00;25.2492313;24.9476871;25.3763981
01/02/2009 00:00;24.8550663;25.0240421;25.2959232
01/03/2009 00:00;24.8985233;25.0289249;25.3637638
01/04/2009 00:00;24.6643009;24.9005375;25.2527409
01/05/2009 00:00;24.5081425;24.8264103;25.2828617
01/06/2009 00:00;23.7416935;24.1693363;24.7856693
01/07/2009 00:00;25.9446354;24.7284794;25.1895084
01/08/2009 00:00;28.090723;26.8145084;26.2042179
01/09/2009 00:00;29.5097294;27.6447392;26.9807072
01/10/2009 00:00;28.4288883;27.9057255;27.6724491
01/11/2009 00:00;26.2994633;26.1663456;26.2882633
01/12/2009 00:00;25.8839359;25.6467838;25.775568
01/01/2010 00:00;25.2793217;25.4512882;25.818018
01/02/2010 00:00;25.6760502;26.0050907;26.2766361
01/03/2010 00:00;25.5763493;25.84231;26.1865482
01/04/2010 00:00;25.3008671;26.1420536;26.2626896
01/05/2010 00:00;23.7609806;26.3407536;25.4063663
01/06/2010 00:00;25.1570072;27.7854557;26.4912052
01/07/2010 00:00;26.1198063;28.3142643;27.1055546
01/08/2010 00:00;27.4989567;29.2731876;28.492548
01/09/2010 00:00;29.9598942;29.61236;29.2073307
01/10/2010 00:00;27.9023991;27.3989201;26.8990116
01/11/2010 00:00;26.6569462;26.3465214;25.8944035
01/12/2010 00:00;25.300745;25.7764835;25.450983
01/01/2011 00:00;24.4617558;24.7333927;24.9270573
01/02/2011 00:00;24.5087223;24.8579044;25.1094303
01/03/2011 00:00;24.7437382;24.7959538;25.056757
01/04/2011 00:00;25.1127872;25.0197697;25.3291874
01/05/2011 00:00;24.8949528;24.4958439;25.1550541
01/06/2011 00:00;26.2894535;25.8764286;25.2432194
01/07/2011 00:00;28.0891972;27.672327;26.6005802
01/08/2011 00:00;29.3602543;29.5046329;29.0260868
